StockName,Ticker
Geberit AG,GEBN SW
GE US,GE US
General Electric,GE US
General Electric Co.,GE US
GILD US,GILD US
Gilead Sciences,GILD US
Gilead,GILD US
Gilead Sciences Inc.,GILD US
G IM,G IM
Assicurazioni Generali,G IM
Assicurazioni Generali SpA,G IM
GIS US,GIS US
General Mills,GIS US
General Mills Inc.,GIS US
GIVN SW,GIVN SW
Givaudan,GIVN SW
Givaudan SA,GIVN SW
GLD US,GLD US
SPDR Gold Shares,GLD US
GLE FP,GLE FP
Société Générale,GLE FP
Societe Generale,GLE FP
Société Générale SA,GLE FP
GLEN LN,GLEN LN
Glencore,GLEN LN
Glencore Plc,GLEN LN
GM US,GM US
General Motors,GM US
General Motors Co.,GM US
GOLD US,GOLD US
Barrick Gold,GOLD US
Barrick,GOLD US
Barrick Gold Corp.,GOLD US
GOOGL US,GOOGL US
Alphabet,GOOGL US
Alphabet Inc.,GOOGL US
GOOGL,GOOGL US
GOOGL US,GOOGL US
Google Inc.,GOOGL US
Google Corporation,GOOGL US
GOOGLE INC.,GOOGL US
Google,GOOGL US
GSK LN,GSK LN
GSK Plc,GSK LN
GSK,GSK LN
GS US,GS US
The Goldman Sachs.,GS US
The Goldman Sachs Group,GS US
Goldman Sachs,GS US
HAL US,HAL US
Halliburton,HAL US
Halliburton Co.,HAL US
HAS US,HAS US
Hasbro,HAS US
Hasbro Inc.,HAS US
HCA US,HCA US
HCA Healthcare,HCA US
HCA Healthcare Inc.,HCA US
HD US,HD US
The Home Depot,HD US
Home Depot,HD US
The Home Depot Inc.,HD US
HEIA NA,HEIA NA
Heineken,HEIA NA
Heineken NV,HEIA NA
HEI GR,HEI GR
Heidelberg,HEI GR
Heidelberg Materials AG,HEI GR
HELN SW,HELN SW
Helvetia Holding,HELN SW
Helvetia,HELN SW
Helvetia Holding AG,HELN SW
HEN GR,HEN GR
Henkel,HEN GR
Henkel AG & Co. KGaA,HEN GR
HES US,HES US
Hess,HES US
Hess Corp.,HES US
HLT US,HLT US
Hilton Worldwide,HLT US
Hilton Worldwide Holdings Inc.,HLT US
HMB SS,HMB SS
H&M Hennes & Mauritz,HMB SS
Hennes & Mauritz,HMB SS
H&M Hennes & Mauritz AB,HMB SS
HNR1 GR,HNR1 GR
Hannover Rück,HNR1 GR
Hannover Rück SE,HNR1 GR
HO FP,HO FP
Thales,HO FP
Thales SA,HO FP
HOLN SW,HOLN SW
Holcim,HOLN SW
Holcim Ltd.,HOLN SW
HON US,HON US
Honeywell International,HON US
Honeywell,HON US
Honeywell International Inc.,HON US
HPE US,HPE US
Hewlett Packard,HPE US
Hewlett Packard Enterprise Co.,HPE US
HPQ US,HPQ US
HP Inc.,HPQ US
HSBA LN,HSBA LN
HSBC Holdings,HSBA LN
HSBC Holdings Plc,HSBA LN
HSCEI,HSCEI
Hang Seng,HSCEI
Hang Seng China Enterprise,HSCEI
HSY US,HSY US
The Hershey,HSY US
Hershey,HSY US
The Hershey Co.,HSY US
Hyatt Hotels Corp.,H US
IBE SM,IBE SM
Iberdrola,IBE SM
Iberdrola SA,IBE SM
IBM US,IBM US
IBM,IBM US
International Business Machines.,IBM US
International Business Machines Corp.,IBM US
IFX GR,IFX GR
Infineon Technologies,IFX GR
Infineon,IFX GR
Infineon Technologies AG,IFX GR
ILMN US,ILMN US
Illumina,ILMN US
Illumina Inc.,ILMN US
IMB LN,IMB LN
Imperial Brands,IMB LN
Imperial Brands Plc,IMB LN
INDU,INDU
DOW JONES INDUSTRIAL 30,INDU
INGA NA,INGA NA
ING Groep,INGA NA
ING Groep NV,INGA NA
Intel Corp.,INTC US
Intel Corporation,INTC US
Intel,INTC US
INTC,INTC US
INTU US,INTU US
Intuit,INTU US
Intuit Inc.,INTU US
ISP IM,ISP IM
Intesa Sanpaolo,ISP IM
Intesa,ISP IM
Intesa Sanpaolo SpA,ISP IM
ISRG US,ISRG US
Intuitive Surgical,ISRG US
Intuitive Surgical Inc.,ISRG US
ITX SM,ITX SM
Industria de Diseño Textil,ITX SM
Industria de Diseño Textil SA,ITX SM
IWM US,IWM US
iShares Russell ETF,IWM US
iShares Russell 2000 ETF,IWM US
iShares Russell 2000,IWM US
IWN US,IWN US
iShares Russell 2000 Value ETF,IWN US
JD US,JD US
JD.com,JD US
JD.com Inc.,JD US
Johnson & Johnson,JNJ US
Johnson & Johnson,JNJ US
JNJ,JNJ US
JNJ US,JNJ US
JPMorgan Chase & Co.,JPM US
JPMorgan Chase,JPM US
JPM,JPM US
JPM US,JPM US
JWN US,JWN US
Nordstrom,JWN US
Nordstrom Inc.,JWN US
KDP US,KDP US
Keurig Dr Pepper,KDP US
Keurig Dr Pepper Inc.,KDP US
KER FP,KER FP
Kering,KER FP
Kering SA,KER FP
KGC US,KGC US
Kinross Gold,KGC US
Kinross Gold Corp.,KGC US
KGF LN,KGF LN
Kingfisher,KGF LN
Kingfisher plc,KGF LN
KHC US,KHC US
The Kraft Heinz,KHC US
Kraft Heinz,KHC US
The Kraft Heinz Co.,KHC US
KKR US,KKR US
KKR & Co. Inc.,KKR US
KKR & Co,KKR US
KLAC US,KLAC US
KLA,KLAC US
KLA Corp.,KLAC US
KMB US,KMB US
Kimberly-Clark,KMB US
Kimberly-Clark Corp.,KMB US
KNIN SW,KNIN SW
Kühne + Nagel,KNIN SW
Kühne + Nagel International AG,KNIN SW
The Coca-Cola Co.,KO US
Coca-Cola Company,KO US
Coca-Cola,KO US
KO,KO US
KO US,KO US
KRE US,KRE US
SPDR S&P Regional Banking ETF,KRE US
KR US,KR US
The Kroger,KR US
The Kroger Co.,KR US
LHA GR,LHA GR
Deutsche Lufthansa,LHA GR
Lufthansa,LHA GR
Deutsche Lufthansa AG,LHA GR
LI FP,LI FP
Klépierre,LI FP
Klepierre,LI FP
Klépierre SA,LI FP
LISP SW,LISP SW
Chocoladefabriken Lindt & Sprüngli,LISP SW
Chocoladefabriken Lindt & Sprüngli AG,LISP SW
LLOY LN,LLOY LN
Lloyds Banking,LLOY LN
Lloyds Banking Group Plc,LLOY LN
LLY US,LLY US
Eli Lilly,LLY US
Eli Lilly & Co.,LLY US
LMT US,LMT US
Lockheed Martin,LMT US
Lockheed Martin Corp.,LMT US
Logitech International SA,LOGN SW
LONN SW,LONN SW
Lonza Group,LONN SW
Lonza,LONN SW
Lonza Group AG,LONN SW
LRCX US,LRCX US
Lam Research,LRCX US
Lam Research Corp.,LRCX US
LULU US,LULU US
lululemon athletica,LULU US
lululemon athletica Inc.,LULU US
LUV US,LUV US
Southwest Airlines,LUV US
Southwest Airlines Co.,LUV US
LVS US,LVS US
Las Vegas Sands,LVS US
Las Vegas Sands Corp.,LVS US
LYFT US,LYFT US
Lyft,LYFT US
Lyft Inc.,LYFT US
MAR US,MAR US
Marriott International,MAR US
Marriott,MAR US
Marriott International Inc.,MAR US
MA US,MA US
Mastercard,MA US
Mastercard Inc.,MA US
MBG GR,MBG GR
Mercedes-Benz,MBG GR
Mercedes-Benz Group AG,MBG GR
MB IM,MB IM
Mediobanca Banca di Credito Finanziario,MB IM
Mediobanca Banca di Credito Finanziario SpA,MB IM
MCD US,MCD US
McDonald's,MCD US
McDonald's Corp.,MCD US
MC FP,MC FP
LVMH Moët Hennessy Louis Vuitton,MC FP
Louis Vuitton,MC FP
LVMH Moët Hennessy Louis Vuitton SE,MC FP
MCHP US,MCHP US
Microchip Technology,MCHP US
Microchip Technology Inc.,MCHP US
MCK US,MCK US
McKesson,MCK US
McKesson Corp.,MCK US
MDLZ US,MDLZ US
Mondelez International,MDLZ US
Mondelez International Inc.,MDLZ US
MDT US,MDT US
Medtronic,MDT US
Medtronic Plc,MDT US
MELI US,MELI US
MercadoLibre,MELI US
MercadoLibre Inc.,MELI US
Meta Platforms Inc.,META US
Meta,META US
META US,META US
Facebook Inc,META US
Facebook,META US
MGA US,MGA US
Magna,MGA US
Magna International Inc.,MGA US
MGM US,MGM US
MGM Resorts,MGM US
MGM Resorts International,MGM US
ML FP,ML FP
Compagnie Générale des Établissements Michelin,ML FP
Michelin,ML FP
Compagnie Générale des Établissements Michelin SCA,ML FP
MMM US,MMM US
3M Co.,MMM US
MNST US,MNST US
Monster Beverage,MNST US
Monster Beverage Corp.,MNST US
MONC IM,MONC IM
Moncler,MONC IM
Moncler SpA,MONC IM
MOS US,MOS US
The Mosaic,MOS US
Mosaic,MOS US
The Mosaic Co.,MOS US
MO US,MO US
Altria,MO US
Altria Group Inc.,MO US
MRK US,MRK US
Merck,MRK US
Merck & Co. Inc.,MRK US
MRNA US,MRNA US
Moderna,MRNA US
Moderna Inc.,MRNA US
MRVL US,MRVL US
Marvell Technology,MRVL US
Marvell Technology Inc.,MRVL US
MSFT US,MSFT US
Microsoft,MSFT US
Microsoft Corp.,MSFT US
MS US,MS US
Morgan Stanley,MS US
MT NA,MT NA
Arcelor Mittal,MT NA
ArcelorMittal SA,MT NA
M US,M US
Macy's,M US
Macy's Inc.,M US
MU US,MU US
Micron Technology,MU US
Micron Technology Inc.,MU US
MUV2 GR,MUV2 GR
Münchener Rückversicherungs-Gesellschaft,MUV2 GR
Münchener Rückversicherungs-Gesellschaft AG,MUV2 GR
MXEF,MXEF
MSCI EM,MXEF
MXWO,MXWO
MSCI World Index,MXWO
NCLH US,NCLH US
Norwegian Cruise Line Holdings,NCLH US
Norwegian Cruise Line Holdings Ltd.,NCLH US
NDX,NDX
NASDAQ 100,NDX
NEE US,NEE US
NextEra Energy,NEE US
NextEra Energy Inc.,NEE US
NEM US,NEM US
Newmont,NEM US
Newmont Corp.,NEM US
NESN SW,NESN SW
Nestle,NESN SW
Nestlé,NESN SW
Nestlé SA,NESN SW
Neste Corp.,NESTE FH
Neste Corp.,NESTE FH
NFLX US,NFLX US
Netflix,NFLX US
NFLX,NFLX US
Netflix Inc.,NFLX US
NHY NO,NHY NO
Norsk Hydro,NHY NO
Norsk Hydro ASA,NHY NO
NIO US,NIO US
NIO Inc.,NIO US
NKE US,NKE US
Nike,NKE US
NIKE Inc.,NKE US
NKY,NKY
NIKKEI 225,NKY
NOC US,NOC US
Northrop Grumman,NOC US
Northrop Grumman Corp.,NOC US
NOKIA FH,NOKIA FH
Nokia Oyj,NOKIA FH
Nokia,NOKIA FH
NOVN SW,NOVN SW
Novartis,NOVN SW
Novartis AG,NOVN SW
NOW US,NOW US
ServiceNow,NOW US
ServiceNow Inc.,NOW US
NTES US,NTES US
NetEase,NTES US
NetEase Inc.,NTES US
NVDA US,NVDA US
NVIDIA,NVDA US
NVIDIA Corp.,NVDA US
NVO US,NVO US
Novo Nordisk,NVO US
Novo Nordisk A/S,NVO US
NXPI US,NXPI US
NXP Semiconductors NV,NXPI US
OERL SW,OERL SW
OC Oerlikon,OERL SW
OC Oerlikon Corp. AG,OERL SW
OMV AV,OMV AV
OMV AG,OMV AV
OMX,OMX
OMX 30,OMX
ORA FP,ORA FP
Orange,ORA FP
Orange SA,ORA FP
Oracle Corp.,ORCL US
OR FP,OR FP
L'Oréal,OR FP
L'Oreal,OR FP
LOreal,OR FP
L'Oréal SA,OR FP
OXY US,OXY US
Occidental Petroleum,OXY US
Occidental Petroleum Corp.,OXY US
PAAS US,PAAS US
Pan American Silver,PAAS US
Pan American Silver Corp.,PAAS US
PAH3 GR,PAH3 GR
Porsche Automobil,PAH3 GR
Porsche,PAH3 GR
Porsche Automobil Holding SE,PAH3 GR
PANW US,PANW US
Palo Alto,PANW US
Palo Alto Networks Inc.,PANW US
PBR US,PBR US
Petróleo Brasileiro,PBR US
Petróleo Brasileiro SA,PBR US
PEP US,PEP US
PepsiCo,PEP US
Pepsi,PEP US
PepsiCo Inc.,PEP US
PFE US,PFE US
Pfizer,PFE US
Pfizer Inc.,PFE US
PG US,PG US
Procter & Gamble,PG US
Procter & Gamble Co.,PG US
PHIA NA,PHIA NA
Koninklijke Philips,PHIA NA
Koninklijke Philips NV,PHIA NA
PHM US,PHM US
PulteGroup,PHM US
PulteGroup Inc.,PHM US
PM US,PM US
Philip Morris,PM US
Philip Morris International Inc.,PM US
PPG US,PPG US
PPG Industries,PPG US
PPG Industries Inc.,PPG US
PRU LN,PRU LN
Prudential,PRU LN
Prudential Plc,PRU LN
PSPN SW,PSPN SW
PSP Swiss Property,PSPN SW
PSP Swiss Property AG,PSPN SW
PYPL US,PYPL US
PayPal Holdings,PYPL US
PayPal,PYPL US
PayPal Holdings Inc.,PYPL US
QCOM US,QCOM US
QUALCOMM,QCOM US
QUALCOMM Inc.,QCOM US
QQQ US,QQQ US
Invesco QQQ Trust,QQQ US
RACE IM,RACE IM
Ferrari,RACE IM
Ferrari NV,RACE IM
RCL US,RCL US
Royal Caribbean,RCL US
Royal Caribbean Group,RCL US
REGN US,REGN US
Regeneron Pharmaceuticals,REGN US
Regeneron Pharmaceuticals Inc.,REGN US
REP SM,REP SM
Repsol,REP SM
Repsol SA,REP SM
RHM GR,RHM GR
Rheinmetall,RHM GR
